action_name,count,mean,std
set_empty_values,1425,2.9312280701754387,2.706792894643477
remove_field,1380,1.607246376811594,2.261883858744954
mutate_content_type_vs_body,989,1.0050556117290192,1.681939886958346
mutate_string,4802,0.9900041649312786,1.9837666650074792
mutate_template_injection,601,0.9733777038269551,1.772744596786404
fuzz_ids,1499,0.8845897264843229,0.8247805965818151
type_flip,2493,0.8844765342960289,0.9315948030972521
mutate_path_ids,334,0.874251497005988,2.049477017355261
mutate_query_values,1372,0.8367346938775511,0.8765643810343635
mutate_headers,2657,0.8295069627399323,0.7186643228456325
inject_sql_payload,3622,0.8169519602429597,0.7694166455786704
mutate_query_params,435,0.7517241379310344,1.0485739788696657
duplicate_field,629,0.7170111287758346,1.459445395121353
flip_boolean_flags,324,0.7037037037037037,1.1823725368772198
set_large_value,537,0.6480446927374302,1.694195780092258
mutate_url_path,371,0.20485175202156333,2.071969468395502
mutate_method,266,-0.06390977443609022,3.240028845570748
